Date,Hash Rate (TH/s)
5/23/12 0:00,10.42514375
5/26/12 0:00,10.67752332
5/29/12 0:00,10.75661609
6/1/12 0:00,11.94300757
6/4/12 0:00,11.94300757
6/7/12 0:00,9.965688435
6/10/12 0:00,13.3790336
6/13/12 0:00,12.74943202
6/16/12 0:00,12.59203163
6/19/12 0:00,14.32343598
6/22/12 0:00,12.10176058
6/25/12 0:00,13.13169765
6/28/12 0:00,11.58679204
7/1/12 0:00,11.84427631
7/4/12 0:00,13.84337907
7/7/12 0:00,14.80109712
7/10/12 0:00,13.14685686
7/13/12 0:00,14.01750963
7/16/12 0:00,12.88566102
7/19/12 0:00,13.26737055
7/22/12 0:00,12.89625529
7/25/12 0:00,14.28793751
7/28/12 0:00,15.77239855
7/31/12 0:00,13.46538137
8/3/12 0:00,17.51512013
8/6/12 0:00,14.27532912
8/9/12 0:00,16.09771157
8/12/12 0:00,18.40554294
8/15/12 0:00,18.62336001
8/18/12 0:00,16.11846364
8/21/12 0:00,19.7124454
8/24/12 0:00,16.98973194
8/27/12 0:00,18.07742531
8/30/12 0:00,19.16935033
9/2/12 0:00,18.56272532
9/5/12 0:00,21.83850037
9/8/12 0:00,18.74905902
9/11/12 0:00,21.15965232
9/14/12 0:00,21.69533972
9/17/12 0:00,23.57024562
9/20/12 0:00,20.92944794
9/23/12 0:00,21.21420234
9/26/12 0:00,20.35993916
9/29/12 0:00,23.91936908
10/2/12 0:00,19.36329878
10/5/12 0:00,20.65110469
10/8/12 0:00,25.20649543
10/11/12 0:00,20.9547974
10/14/12 0:00,20.9547974
10/17/12 0:00,21.53435778
10/20/12 0:00,21.07617995
10/23/12 0:00,20.92345401
10/26/12 0:00,24.58887661
10/29/12 0:00,24.13069879
11/1/12 0:00,22.17516038
11/4/12 0:00,26.28167156
11/7/12 0:00,25.78889022
11/10/12 0:00,26.28167156
11/13/12 0:00,22.77487591
11/16/12 0:00,23.61218753
11/19/12 0:00,20.59786571
11/22/12 0:00,24.61696146
11/25/12 0:00,23.61218753
11/28/12 0:00,28.89039649
12/1/12 0:00,27.35185466
12/4/12 0:00,18.97534917
12/7/12 0:00,21.19768736
12/10/12 0:00,24.27477101
12/13/12 0:00,22.78443985
12/16/12 0:00,19.26625428
12/19/12 0:00,23.95716837
12/22/12 0:00,24.12470102
12/25/12 0:00,20.60651545
12/28/12 0:00,26.06886297
12/31/12 0:00,24.88391466
1/3/13 0:00,23.69896634
1/6/13 0:00,21.03283263
1/9/13 0:00,21.64582213
1/12/13 0:00,19.22278234
1/15/13 0:00,20.51507022
1/18/13 0:00,20.19199825
1/21/13 0:00,23.58425396
1/24/13 0:00,23.90732593
1/27/13 0:00,22.43195058
1/30/13 0:00,21.39890022
2/2/13 0:00,23.76015818
2/5/13 0:00,28.00576717
2/8/13 0:00,24.74928262
2/11/13 0:00,25.88905221
2/14/13 0:00,26.70317335
2/17/13 0:00,30.28530636
2/20/13 0:00,31.39824966
2/23/13 0:00,29.40182916
2/26/13 0:00,28.13137975
3/1/13 0:00,34.30627041
3/4/13 0:00,37.9974514
3/7/13 0:00,33.00350064
3/10/13 0:00,40.16873434
3/13/13 0:00,33.43775723
3/16/13 0:00,42.41210107
3/19/13 0:00,47.47263586
3/22/13 0:00,54.22001557
3/25/13 0:00,45.26778087
3/28/13 0:00,59.58038805
3/31/13 0:00,52.25765879
4/3/13 0:00,59.24753672
4/6/13 0:00,64.07971834
4/9/13 0:00,64.07971834
4/12/13 0:00,65.98685282
4/15/13 0:00,61.02830318
4/18/13 0:00,72.71669197
4/21/13 0:00,77.62395339
4/24/13 0:00,78.07006806
4/27/13 0:00,70.93223327
4/30/13 0:00,74.63339018
5/3/13 0:00,73.63159971
5/6/13 0:00,81.64592348
5/9/13 0:00,83.14860919
5/12/13 0:00,89.15935203
5/15/13 0:00,81.74987297
5/18/13 0:00,81.74987297
5/21/13 0:00,82.86211614
5/24/13 0:00,90.09169674
5/27/13 0:00,103.9136922
5/30/13 0:00,102.101244
6/2/13 0:00,123.2464721
6/5/13 0:00,156.7035621
6/8/13 0:00,130.327715
6/11/13 0:00,136.5337967
6/14/13 0:00,133.4307558
6/17/13 0:00,148.0494004
6/20/13 0:00,140.3585225
6/23/13 0:00,169.1993148
6/26/13 0:00,181.6969915
6/29/13 0:00,170.754179
7/2/13 0:00,166.5118392
7/5/13 0:00,187.7235384
7/8/13 0:00,197.2688031
7/11/13 0:00,249.7082121
7/14/13 0:00,211.9918675
7/17/13 0:00,219.7952492
7/20/13 0:00,243.205394
7/23/13 0:00,225.2998321
7/26/13 0:00,276.5749663
7/29/13 0:00,257.929463
8/1/13 0:00,287.4515099
8/4/13 0:00,317.8555672
8/7/13 0:00,327.1495897
8/10/13 0:00,369.9020929
8/13/13 0:00,484.9527656
8/16/13 0:00,434.4368525
8/19/13 0:00,449.5916264
8/22/13 0:00,525.365496
8/25/13 0:00,467.3888102
8/28/13 0:00,545.8316874
8/31/13 0:00,702.7174419
9/3/13 0:00,604.6638454
9/6/13 0:00,821.0781131
9/9/13 0:00,834.0425044
9/12/13 0:00,898.8644606
9/15/13 0:00,1024.579581
9/18/13 0:00,845.4181239
9/21/13 0:00,1046.974763
9/24/13 0:00,1125.3579
9/27/13 0:00,1302.020289
9/30/13 0:00,1213.246178
10/3/13 0:00,1538.75125
10/6/13 0:00,1900.662831
10/9/13 0:00,1721.887615
10/12/13 0:00,1853.616722
10/15/13 0:00,2333.487041
10/18/13 0:00,2302.45572
10/21/13 0:00,2675.107513
10/24/13 0:00,2781.579453
10/27/13 0:00,3439.672053
10/30/13 0:00,3808.902386
11/2/13 0:00,4216.99907
11/5/13 0:00,3303.639825
11/8/13 0:00,3377.99452
11/11/13 0:00,4952.698733
11/14/13 0:00,4292.338902
11/17/13 0:00,5847.426832
11/20/13 0:00,4938.500381
11/23/13 0:00,4908.202833
11/26/13 0:00,4968.79793
11/29/13 0:00,6505.60945
12/2/13 0:00,5731.969408
12/5/13 0:00,6013.29306
12/8/13 0:00,6294.616711
12/11/13 0:00,7134.389874
12/14/13 0:00,9030.873258
12/17/13 0:00,8895.410159
12/20/13 0:00,9121.181991
12/23/13 0:00,9333.937661
12/26/13 0:00,10508.01787
12/29/13 0:00,8805.601567
1/1/14 0:00,11740.80209
1/4/14 0:00,10435.93771
1/7/14 0:00,13185.94832
1/10/14 0:00,14243.64471
1/13/14 0:00,18058.64887
1/16/14 0:00,17791.77229
1/19/14 0:00,16368.43051
1/22/14 0:00,16902.18368
1/25/14 0:00,16903.79922
1/28/14 0:00,18103.42368
1/31/14 0:00,20066.44552
2/3/14 0:00,21157.01322
2/6/14 0:00,21761.8906
2/9/14 0:00,19676.91905
2/12/14 0:00,21761.8906
2/15/14 0:00,23455.92999
2/18/14 0:00,25980.5117
2/21/14 0:00,26136.08362
2/24/14 0:00,28314.09059
2/27/14 0:00,28314.09059
3/2/14 0:00,28262.41817
3/5/14 0:00,30538.58608
3/8/14 0:00,33194.1153
3/11/14 0:00,31866.35069
3/14/14 0:00,29367.84755
3/17/14 0:00,37607.74722
3/20/14 0:00,35283.67296
3/23/14 0:00,43312.29315
3/26/14 0:00,39324.9976
3/29/14 0:00,42560.59867
4/1/14 0:00,44551.73779
4/4/14 0:00,50027.37037
4/7/14 0:00,44415.13216
4/10/14 0:00,53237.31594
4/13/14 0:00,60538.43356
4/16/14 0:00,45327.77186
4/19/14 0:00,56547.98442
4/22/14 0:00,53425.70307
4/25/14 0:00,56894.90457
4/28/14 0:00,57588.74487
5/1/14 0:00,66817.88587
5/4/14 0:00,60454.27769
5/7/14 0:00,64829.25832
5/10/14 0:00,70397.41547
5/13/14 0:00,74817.97102
5/16/14 0:00,80099.23956
5/19/14 0:00,77898.711
5/22/14 0:00,73497.65388
5/25/14 0:00,78483.25676
5/28/14 0:00,91996.9301
5/31/14 0:00,79003.01342
6/3/14 0:00,97714.25344
6/6/14 0:00,86494.36212
6/9/14 0:00,79481.30574
6/12/14 0:00,90585.31168
6/15/14 0:00,108702.374
6/18/14 0:00,113768.8429
6/21/14 0:00,126484.1841
6/24/14 0:00,132507.2405
6/27/14 0:00,125145.7271
6/30/14 0:00,104506.2812
7/3/14 0:00,111194.6832
7/6/14 0:00,124571.4872
7/9/14 0:00,132931.9897
7/12/14 0:00,137948.2912
7/15/14 0:00,118927.4328
7/18/14 0:00,137025.0856
7/21/14 0:00,128407.1557
7/24/14 0:00,128407.1557
7/27/14 0:00,149954.3634
7/30/14 0:00,162993.8733
8/2/14 0:00,157405.5119
8/5/14 0:00,122943.9502
8/8/14 0:00,157903.3291
8/11/14 0:00,178499.4155
8/14/14 0:00,166730.2233
8/17/14 0:00,161826.3932
8/20/14 0:00,187281.3463
8/23/14 0:00,186096.0214
8/26/14 0:00,196763.9462
8/29/14 0:00,196763.9462
9/1/14 0:00,204522.6957
9/4/14 0:00,227701.9345
9/7/14 0:00,223611.4806
9/10/14 0:00,212703.6035
9/13/14 0:00,241336.7809
9/16/14 0:00,250600.6489
9/19/14 0:00,240220.7404
9/22/14 0:00,232806.52
9/25/14 0:00,241703.5845
9/28/14 0:00,239501.0072
10/1/14 0:00,249839.1801
10/4/14 0:00,246393.1225
10/7/14 0:00,260177.3531
10/10/14 0:00,276657.2683
10/13/14 0:00,266217.3713
10/16/14 0:00,260997.4229
10/19/14 0:00,233157.6978
10/22/14 0:00,297537.0621
10/25/14 0:00,271906.0938
10/28/14 0:00,268328.3821
10/31/14 0:00,336304.9055
11/3/14 0:00,277272.6615
11/6/14 0:00,285462.7945
11/9/14 0:00,273650.541
11/12/14 0:00,265775.7052
11/15/14 0:00,295306.3392
11/18/14 0:00,295306.3392
11/21/14 0:00,248412.3463
11/24/14 0:00,310515.4329
11/27/14 0:00,262435.624
11/30/14 0:00,312518.7583
12/3/14 0:00,242402.3702
12/6/14 0:00,288373.4095
12/9/14 0:00,276440.7167
12/12/14 0:00,282407.0631
12/15/14 0:00,304283.6666
12/18/14 0:00,272641.7557
12/21/14 0:00,284410.4645
12/24/14 0:00,296179.1734
12/27/14 0:00,313832.2367
12/30/14 0:00,286371.916
1/2/15 0:00,323243.6531
1/5/15 0:00,339405.8358
1/8/15 0:00,272736.8323
1/11/15 0:00,296980.1063
1/14/15 0:00,330062.3197
1/17/15 0:00,299460.5152
1/20/15 0:00,262301.1812
1/23/15 0:00,271044.5539
1/26/15 0:00,277602.0835
1/29/15 0:00,348786.5672
2/1/15 0:00,348786.5672
2/4/15 0:00,330321.396
2/7/15 0:00,352889.9386
2/10/15 0:00,331483.6071
2/13/15 0:00,309384.7
2/16/15 0:00,349162.7328
2/19/15 0:00,362422.0771
2/22/15 0:00,333693.4978
2/25/15 0:00,362028.0977
2/28/15 0:00,313293.5461
3/3/15 0:00,357386.7119
3/6/15 0:00,366669.4836
3/9/15 0:00,311208.0239
3/12/15 0:00,313565.6604
3/15/15 0:00,346572.572
3/18/15 0:00,332426.7528
3/21/15 0:00,337142.0259
3/24/15 0:00,387831.1122
3/27/15 0:00,399442.8222
3/30/15 0:00,329772.5625
4/2/15 0:00,341384.2724
4/5/15 0:00,371157.0054
4/8/15 0:00,292501.2162
4/11/15 0:00,336745.0976
4/14/15 0:00,388362.9593
4/17/15 0:00,329371.1174
4/20/15 0:00,408026.9066
4/23/15 0:00,326609.2919
4/26/15 0:00,352643.3659
4/29/15 0:00,305308.6859
5/2/15 0:00,347909.8979
5/5/15 0:00,364728.3889
5/8/15 0:00,350518.1919
5/11/15 0:00,352886.5581
5/14/15 0:00,331571.2626
5/17/15 0:00,419738.3697
5/20/15 0:00,344525.1358
5/23/15 0:00,291148.0021
5/26/15 0:00,327541.5024
5/29/15 0:00,380918.6361
6/1/15 0:00,332393.9691
6/4/15 0:00,335928.1799
6/7/15 0:00,395070.4651
6/10/15 0:00,373779.2424
6/13/15 0:00,373779.2424
6/16/15 0:00,303837.2967
6/19/15 0:00,397705.7298
6/22/15 0:00,365592.8448
6/25/15 0:00,395235.5079
6/28/15 0:00,363122.6229
7/1/15 0:00,356089.185
7/4/15 0:00,380647.0598
7/7/15 0:00,363456.5474
7/10/15 0:00,383102.8473
7/13/15 0:00,368157.8914
7/16/15 0:00,345306.7119
7/19/15 0:00,363079.8515
7/22/15 0:00,373235.9313
7/25/15 0:00,397611.6003
7/28/15 0:00,369025.1454
7/31/15 0:00,361228.8395
8/3/15 0:00,382018.9886
8/6/15 0:00,363827.6082
8/9/15 0:00,353662.6557
8/12/15 0:00,322225.9752
8/15/15 0:00,351042.9323
8/18/15 0:00,379859.8895
8/21/15 0:00,403437.3998
8/24/15 0:00,423446.5405
8/27/15 0:00,401869.6467
8/30/15 0:00,388384.0881
9/2/15 0:00,415355.2053
9/5/15 0:00,427538.3894
9/8/15 0:00,393561.8286
9/11/15 0:00,489828.7508
9/14/15 0:00,450189.4299
9/17/15 0:00,399224.5888
9/20/15 0:00,353949.157
9/23/15 0:00,442436.4463
9/26/15 0:00,448335.5989
9/29/15 0:00,510276.7014
10/2/15 0:00,377880.2205
10/5/15 0:00,447410.1811
10/8/15 0:00,414156.7217
10/11/15 0:00,453456.2646
10/14/15 0:00,459502.3481
10/17/15 0:00,396478.2309
10/20/15 0:00,384372.0253
10/23/15 0:00,466088.9126
10/26/15 0:00,460035.8099
10/29/15 0:00,458010.0135
11/1/15 0:00,492051.2982
11/4/15 0:00,479672.6492
11/7/15 0:00,504429.9473
11/10/15 0:00,442536.7022
11/13/15 0:00,546646.8648
11/16/15 0:00,576106.8755
11/19/15 0:00,458266.8327
11/22/15 0:00,569560.2064
11/25/15 0:00,556720.6312
11/28/15 0:00,527800.079
12/1/15 0:00,694093.2545
